date,condition,review,rating
"February 1, 2020",Anxiety,"I've taken xanax to help me sleep for several years. I try to take it as little as possible so I won't get addicted. It makes me tired, even at.25 so I don't take it during the day. Luckily, I don't suffer from panic attacks very often.  I probably take it a few times a month just before bed. It works better than it antihistamines although I frequently wake up after 6 hours which is all it seems to last. I have heard about it leading to Alzheimer's though. I'm afraid of that.",9.0
"January 22, 2020",Anxiety,"I have been on Xanax for about 20 years, 1mg for sleep. I am not addicted to it but dependent like a person with high blood pressure is dependent on meds., or diabetic dependent on insulin, or humans dependent on oxygen.   I have had no side reactions and am 78 years old.  It has saved my life.  Try not sleeping for a week and see what happens. You will be inside your worse nightmare Why the uproar over physical dependence, I do not know.  It must come from the Gov.",10
"January 19, 2020",Anxiety,"I have been using this drug for several years for my anxiety attacks, and it great. But anxiety has been getting worse and worse especially during work which causes heart stress (thanks so much anxiety..), so my doctor is now letting me take it during my 5-day work week. It works excellently. I am so much more calm and present at work. I will say I am a lot more lethargic, and that is noticeable. But otherwise I have no side effects, so I will continue with this treatment and I am so glad that it is so effective. The good outweighs the bad for me, but I will say that if you tend to be more dependent on drugs like these, I don’t recommend it for you. I have no addiction to it and no withdrawal symptoms when go days without after taking it for multiple days in a row. So just be aware, and pay attention to your body. If you are struggling with learning the difference between wanting another dose and needing another dose, talk to your doctor.",10
"January 14, 2020",Anxiety,I have been taking xanax for  10 years. Through an alcohol addiction I drink while on  Xanax not a good idea If used as prescribed  It takes away my panic attacks. I couldn't even leave the house without.  It also helped me stop drinking 3 years sober now still on xanax 1 mg 3 times daily. Some days now I don't even take it . With proper self control it saved my life. Hands down. I  had a lot of stress since quitting drinking between family members dying. This last year has been   hard to say the least 2019 was probably the worst year of my life and I stayed sober through It. No more alcohol,10
"January 12, 2020",Depression,I’m sorry my Dr ever put me on Xanax.  It’s a EVIL drug . If your dr puts you on it more than a few weeks your will have a Xanax addiction . It’s not safe . Read up on  Xanax. This will be my third relapse it’s not in your mind I almost died twice trying to get off of Xanax my heart stopped 6 times and 5 seizures . Other Benzos are safer . The Drs are at fault not the company Pfizer has a warning no more than  two weeks on Xanax.,1.0
"January 9, 2020",Panic Disorder,"Xanax has a paradoxical effect on me. Makes me have panic attacks like I had never experienced before. So many doctors have told me how safe it is, and it wasn’t until I was almost committed for attempted suicide that my doctor admitted that it may not be for me! For some reason doctors are really in love with Xanax and it is hard to get them to listen to patients criticisms.",1.0
"January 6, 2020",Panic Disorder,"This drug  Xanax does exactly what it’s supposed to do for panic attacks. It’s honestly the only prescribed drug I’ve ever taken that really fulfils what it says it will do. I’ve been taking this medicine for close to 20 years sometimes not for long periods of time but very steadily for about the past 7. I gave it nine stars bc it is super effective but has a good deal of drawbacks. For one, it’s crazy addicting. I feel I’m definitely addicted to it and start having very serious withdrawals if I skip a few days. Personally, I feel like it’s the lesser of two bad options being that not having it my life is just constant anxiety and panic but it creates its own anxiety knowing that you need it. I currently take 2 mg a day and sometimes I break it up throughout the day. If your anxiety is truly severe and strongly affecting your life I would recommend taking it but if that’s not the case I would use some discretion before getting involved with a drug as strong as this.",9.0
"January 6, 2020",Anxiety,Suffered major depression and anxiety when my father died when I was 18 years of age. I constantly considered killing my self. Antidepressants and therapy had little effect on my outlook on life. But then I was prescribed Xanax. I learned to calm down and to actually take a look at my life. Just don’t abuse the drug and it works wonders.,10
"January 4, 2020",Anxiety,"Well, I have mixed thoughts about Xanax. On one hand, it is a very fast acting drug, and seems to be more ""powerful"" than klonopin at the same dosage (0.5mg). On the other hand, it seems to have a very short time effect, with a more pronounced ""knock out"" effect. In short: at least for me klonopin works much better. 
I stopped cold turkey (not the right thing to do, I know) and had no issues at all. I had taken it for over a year for panic. 
Also, it seemed to boost my appetite beyond normal levels, but I leave this as an open question as to a plausible effect.",6.0
"December 30, 2019",Anxiety,"I have been having sleep issues for years.  At times its not too bad but lately it's been hard to fall a asleep. I also get up multiple times to urinate due to an enlarged prostate.  I'm 51.  

My wife had some Xanax and she told me to try one before going to bed.  I used it the last 2 nights.  The pills are 0.5 mg.

OMG, I slept like a BABY for the 2 nights and felt so refreshed.  I also only got up once to use the bathroom.   Most nights I get up almost every hour to urinate.  That wreaks my sleep.

I will not take the pill every night but I may periodically.

Too bad it's not safe to take for a long period of time.",10
